"caminho_relativo","nome_arquivo","extensao","tamanho_bytes","tamanho_legivel","data_modificacao","data_criacao"
"INDICE_CONSOLIDADO_Todos_Arquivos.md","INDICE_CONSOLIDADO_Todos_Arquivos.md",".md","10323","10.08 KB","2025-12-23 21:32","2025-12-28 11:04"
"informações grok instagram (1).docx","informações grok instagram (1).docx",".docx","42895","41.89 KB","2025-12-22 13:54","2025-12-22 13:54"
"instagram-growth-map-2025 (1).md","instagram-growth-map-2025 (1).md",".md","21535","21.03 KB","2025-12-27 19:37","2025-12-27 19:37"
"instagram-growth-map-2025.md","instagram-growth-map-2025.md",".md","21535","21.03 KB","2025-12-27 19:05","2025-12-27 19:05"
"instagram_branding_completo.md","instagram_branding_completo.md",".md","32420","31.66 KB","2025-12-22 11:34","2025-12-22 11:34"
"Manual Completo das Redes Sociais_ Instagram Marke.pdf","Manual Completo das Redes Sociais_ Instagram Marke.pdf",".pdf","413745","404.05 KB","2025-11-19 04:13","2025-12-28 11:30"
"mapa-puro-protocolos-ig (1).md","mapa-puro-protocolos-ig (1).md",".md","38739","37.83 KB","2025-12-27 19:37","2025-12-27 19:37"
"mapa-puro-protocolos-ig.md","mapa-puro-protocolos-ig.md",".md","38739","37.83 KB","2025-12-27 19:06","2025-12-27 19:06"
"MODULO-2-RESUMO-EXECUTIVO.md","MODULO-2-RESUMO-EXECUTIVO.md",".md","6843","6.68 KB","2025-12-27 19:39","2025-12-27 19:39"
"MODULO-3-RESUMO-EXECUTIVO.md","MODULO-3-RESUMO-EXECUTIVO.md",".md","6583","6.43 KB","2025-12-27 19:39","2025-12-27 19:39"
"MODULO-4-RESUMO-EXECUTIVO.md","MODULO-4-RESUMO-EXECUTIVO.md",".md","5137","5.02 KB","2025-12-27 19:40","2025-12-27 19:40"
"MODULO-5-RESUMO-EXECUTIVO.md","MODULO-5-RESUMO-EXECUTIVO.md",".md","6711","6.55 KB","2025-12-27 19:40","2025-12-27 19:40"
"Organico Instagram(@EQUIPE7NAPISTA) (2).pdf","Organico Instagram(@EQUIPE7NAPISTA) (2).pdf",".pdf","231231","225.81 KB","2025-12-22 13:36","2025-12-28 11:30"
"planilha de postagens grok - Página1.csv","planilha de postagens grok - Página1.csv",".csv","43064","42.05 KB","2025-12-28 10:58","2025-12-28 10:58"
"Planilha_80_POSTS_MEGA.xlsx","Planilha_80_POSTS_MEGA.xlsx",".xlsx","11886","11.61 KB","2025-12-28 10:58","2025-12-28 10:58"
"POST-BUILDER-COMPLETE (1).html","POST-BUILDER-COMPLETE (1).html",".html","51336","50.13 KB","2025-12-27 23:49","2025-12-27 23:49"
"POST-BUILDER-COMPLETE.html","POST-BUILDER-COMPLETE.html",".html","51336","50.13 KB","2025-12-27 23:48","2025-12-27 23:47"
"POST-BUILDER-SPEC.md","POST-BUILDER-SPEC.md",".md","29472","28.78 KB","2025-12-27 23:49","2025-12-27 23:49"
"post_builder_wizard.png","post_builder_wizard.png",".png","182304","178.03 KB","2025-12-27 23:49","2025-12-27 23:49"
"protocolo-1-2-reels-alcance.md","protocolo-1-2-reels-alcance.md",".md","31536","30.8 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-1-3-reels-seguidores.md","protocolo-1-3-reels-seguidores.md",".md","9121","8.91 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-1-4-reels-viralizacao.md","protocolo-1-4-reels-viralizacao.md",".md","8900","8.69 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-1-5-reels-educacional.md","protocolo-1-5-reels-educacional.md",".md","9870","9.64 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-10-1-crisis-prevention.md","protocolo-10-1-crisis-prevention.md",".md","3011","2.94 KB","2025-12-27 19:41","2025-12-27 19:41"
"protocolo-10-2-crisis-response.md","protocolo-10-2-crisis-response.md",".md","3438","3.36 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-10-3-recovery.md","protocolo-10-3-recovery.md",".md","4108","4.01 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-11-1-niche-positioning.md","protocolo-11-1-niche-positioning.md",".md","3659","3.57 KB","2025-12-27 19:42","2025-12-27 19:42"
