"caminho_origem","caminho_destino","acao","motivo"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\BONUS 13 PASSOS PARA BOMBAR NO INSTAGRAM.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\BONUS 13 PASSOS PARA BOMBAR NO INSTAGRAM.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Como crescer no instagram hackeando o algoritmo.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Como crescer no instagram hackeando o algoritmo.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\ENGAJANDO INSTAGRAM (2).pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\ENGAJANDO INSTAGRAM (2).pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Guia_completo_do_Instagram_para_o_seu_negócio_desde_os_primeiros (2).pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Guia_completo_do_Instagram_para_o_seu_negócio_desde_os_primeiros (2).pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Guia_completo_do_Instagram_para_o_seu_negócio_desde_os_primeiros.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Guia_completo_do_Instagram_para_o_seu_negócio_desde_os_primeiros.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\INSTAGRAM HACKING USANDO O TERMUX ANDROID APP (2).pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\INSTAGRAM HACKING USANDO O TERMUX ANDROID APP (2).pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Instagram_Black_Belt_Como_deixar_seu_instagram,_em_alto_nível_Dan.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Instagram_Black_Belt_Como_deixar_seu_instagram,_em_alto_nível_Dan.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_APRESENTACAO_FINAL (1).pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\INTIMAX_SCULPT_APRESENTACAO_FINAL (1).pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Manual Completo das Redes Sociais_ Instagram Marke.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Manual Completo das Redes Sociais_ Instagram Marke.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Manual SEOGRAM Netlinks – Instagram.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Manual SEOGRAM Netlinks – Instagram.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_PREMIUM.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\METODO_INTIMAX_SCULPT_PREMIUM.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Organico Instagram(@EQUIPE7NAPISTA) (2).pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Organico Instagram(@EQUIPE7NAPISTA) (2).pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Organico Instagram(@EQUIPE7NAPISTA).pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Organico Instagram(@EQUIPE7NAPISTA).pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\PDFs\Promoção_Fim_de_Ano_Instituto_Rodovansky.pdf","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Promoção_Fim_de_Ano_Instituto_Rodovansky.pdf","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\XLSXs\30_posts_dra_karina_planilha.xlsx","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\30_posts_dra_karina_planilha.xlsx","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\3_LOGS\_LISTA_COMPLETA_ARQUIVOS.csv","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\_LISTA_COMPLETA_ARQUIVOS.csv","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\3_LOGS\_RELATORIO_EXECUCAO.txt","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\_RELATORIO_EXECUCAO.txt","movido","mover_subpasta_para_raiz"
