"nome_arquivo","extensao","tamanho_bytes","tamanho_legivel","data_modificacao","data_criacao"
"MODULO-2-RESUMO-EXECUTIVO.md",".md","6843","6.68 KB","2025-12-27 19:39","2025-12-27 19:39"
"MODULO-3-RESUMO-EXECUTIVO.md",".md","6583","6.43 KB","2025-12-27 19:39","2025-12-27 19:39"
"MODULO-4-RESUMO-EXECUTIVO.md",".md","5137","5.02 KB","2025-12-27 19:40","2025-12-27 19:40"
"MODULO-5-RESUMO-EXECUTIVO.md",".md","6711","6.55 KB","2025-12-27 19:40","2025-12-27 19:40"
"Organico Instagram(@EQUIPE7NAPISTA) (2).pdf",".pdf","231231","225.81 KB","2025-12-22 13:36","2025-12-27 22:21"
"Organico Instagram(@EQUIPE7NAPISTA).pdf",".pdf","1735889","1.66 MB","2025-12-22 13:36","2025-12-27 22:21"
"planilha de postagens grok - Página1.csv",".csv","43064","42.05 KB","2025-12-28 10:58","2025-12-28 10:58"
"Planilha_80_POSTS_MEGA.xlsx",".xlsx","11886","11.61 KB","2025-12-28 10:58","2025-12-28 10:58"
"PLAYBOOK_MASTER_COMPLETO_KARINA.docx",".docx","13606","13.29 KB","2025-12-18 20:10","2025-12-27 22:21"
"post_builder_wizard.png",".png","182304","178.03 KB","2025-12-27 23:49","2025-12-27 23:49"
"Promoção_Fim_de_Ano_Instituto_Rodovansky.pdf",".pdf","72365314","69.01 MB","2025-12-15 17:12","2025-12-27 22:21"
"protocolo-1-2-reels-alcance.md",".md","31536","30.8 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-1-3-reels-seguidores.md",".md","9121","8.91 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-1-4-reels-viralizacao.md",".md","8900","8.69 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-1-5-reels-educacional.md",".md","9870","9.64 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-10-1-crisis-prevention.md",".md","3011","2.94 KB","2025-12-27 19:41","2025-12-27 19:41"
"protocolo-10-2-crisis-response.md",".md","3438","3.36 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-10-3-recovery.md",".md","4108","4.01 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-11-1-niche-positioning.md",".md","3659","3.57 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-11-3-niche-monetization.md",".md","3064","2.99 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-12-1-paid-ads-strategy.md",".md","2629","2.57 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-12-2-instagram-facebook-ads.md",".md","2792","2.73 KB","2025-12-27 19:42","2025-12-27 22:21"
"protocolo-12-3-ads-optimization.md",".md","3134","3.06 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-2-1-carrossel-geral.md",".md","3974","3.88 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-2-2-carrossel-salvamento.md",".md","2205","2.15 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-2-3-carrossel-alcance.md",".md","2463","2.41 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-2-4-carrossel-seguidores.md",".md","2859","2.79 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-1-stories-geral.md",".md","2682","2.62 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-2-stories-highlights.md",".md","2081","2.03 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-3-stories-interativo.md",".md","2001","1.95 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-4-stories-seguidores.md",".md","2541","2.48 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-4-1-legendas-geral.md",".md","2960","2.89 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-4-2-legendas-valor.md",".md","2362","2.31 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-4-3-legendas-conversao.md",".md","2699","2.64 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-5-1-estrategia-calendario.md",".md","3789","3.7 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-5-2-kpis-analytics.md",".md","4119","4.02 KB","2025-12-27 19:40","2025-12-27 19:40"
